term	sem	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
hctz_lex	chemical	2	16	6.620073206530356	9.785006617154375	inf	8.0	4190.0	-0.00306072908677657	0.0013333333333333	0.0	2.078655144781452
hcv		1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	169.0	-0.0005945554203065084	0.0	0.0	-0.00037109537055890485
hcv_infection_lex	disease	1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	338.0	-0.0005945554203065084	0.0006666666666666	0.0006666666666666	0.6927760851893865
hcva		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	434.0	-0.000763423231989524	0.0	0.0	0.6927760851893865
hcvgenotype		1	1	7.313220387090301	12.557595339394156	0.7029095298048936	1.0	304.0	-0.0010694961406680914	0.0	0.0	-0.00037109537055890485
hd		1	4	7.313220387090301	11.171300978274266	inf	4.0	556.0	-0.0004890130380034163	0.0	0.0	1.385923265749332
hdl		5	14	5.703782474656201	9.918538009778898	inf	2.8	827.8000000000001	-0.004826804950642916	0.0	0.0	1.027612617527712
hdlc		1	1	7.313220387090301	12.557595339394156	0.7029095298048734	1.0	162.0	-0.0005699288644349654	0.0	0.0	-0.00037109537055890485
hds		1	5	7.313220387090301	10.948157426960055	inf	5.0	1390.0	-0.0009780260760057224	0.0	0.0	1.6090668170635425
he		51	85	3.3813947543659757	8.11494408290384	389.06395508931774	1.6666666666666667	296.54901960784315	-0.030058470479796706	0.0	0.0	0.4899797142826099
head		14	17	4.674163057475043	9.72438199533794	64.64757376738551	1.2142857142857142	266.7142857142857	-0.010526093594986019	0.0	0.0	0.18850033942568345
head_and_neck_cancer_lex	disease	2	3	6.620073206530356	11.458983050726047	120.36321673956914	1.5	541.0	-0.0024415471106025155	0.0013333333333333	0.0006666666666666	0.4046787112097796
head_and_neck_cancers_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	388.0	-0.0013650148111153948	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
head_and_neck_carcinoma_lex	disease	2	2	6.620073206530356	11.864448158834211	0.6882992011353518	1.0	301.0	-0.002117883804874321	0.0013333333333333	0.0006666666666666	-0.0007863968983841119
head_and_neck_carcinomas_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	388.0	-0.0013650148111153948	0.0006666666666666	0.0	-0.00037109537055890485
head_injury_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	108.0	-0.0003799525762908651	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
head_trauma_lex	disease	1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	73.0	-0.0002568197969379238	0.0006666666666666	0.0006666666666666	-0.00037109537055890485
head_twitches_lex	disease	1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	138.0	-0.0002427474792975337	0.0006666666666666	0.0006666666666666	0.6927760851893865
headache_lex	disease	22	48	4.222177933731985	8.686394328486266	inf	2.1818181818181817	568.7272727272727	-0.01976105204646883	0.0113333333333333	0.0146666666666666	0.7712465772704711
headaches_lex	disease	4	4	5.926926025970411	11.171300978274266	0.6596943358034559	1.0	163.5	-0.002300823934199614	0.002	0.0026666666666666	-0.0016012561082892063
heads		1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	150.0	-0.0005277119115149054	0.0	0.0	-0.00037109537055890485
headup		2	5	6.620073206530356	10.948157426960055	487.0049614138946	2.5	876.5	-0.0023606312841711885	0.0	0.0	0.9155043349757719
healed		2	3	6.620073206530356	11.458983050726047	120.36321673956914	1.5	250.0	-0.0009780260760058335	0.0	0.0	0.4046787112097796
health		32	43	3.847484484290575	8.796395223700594	136.02267267403815	1.34375	326.65625	-0.02652631875206779	0.0	0.0	0.2824605558301503
healthcare		7	8	5.367310238034988	10.47815379771432	22.309076289846946	1.1428571428571428	246.85714285714283	-0.005263046797493565	0.0	0.0	0.13071430253628868
healthcareassociated		1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	307.0	-0.0010800503788980231	0.0	0.0	-0.00037109537055890485
healthfood		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	48.0	-0.0001688678116846809	0.0	0.0	-0.00037109537055890485
healthy		66	94	3.123565645063876	8.014300557124152	227.1894428408895	1.4242424242424243	322.1212121212121	-0.049548630411687	0.0	0.0	0.3265382027977264
hearing		7	9	5.367310238034988	10.360370762057936	59.759724667506376	1.2857142857142858	341.85714285714283	-0.006100349697095053	0.0	0.0	0.2484973381926725
hearing_impairment_lex	disease	3	4	6.214608098422191	11.171300978274266	73.97787727412738	1.3333333333333333	325.3333333333333	-0.0025224629370346197	0.002	0.002	0.28648718991099287
hearing_loss_lex	disease	10	22	5.0106352940962555	9.46655288603584	inf	2.2	408.8	-0.007592015366971627	0.0066666666666666	0.0046666666666666	0.7844246740383038
heart		98	196	2.7282529084197296	7.279480680163639	703.019356895221	2.0	454.7959183673469	-0.07505822421423847	0.0	0.0	0.6525025613977835
heart_block_lex	disease	4	10	5.926926025970411	10.255010246400111	678.1782296543015	2.5	174.25	-0.0009287729642644127	0.0026666666666666	0.0	0.914689475765865
heart_damage_lex	disease	2	2	6.620073206530356	11.864448158834211	0.6882992011353551	1.0	187.0	-0.0013157616993746402	0.0013333333333333	0.0013333333333333	-0.0007863968983841119
heart_disease_lex	disease	6	8	5.521460917862246	10.47815379771432	73.3085855493451	1.3333333333333333	311.66666666666663	-0.005449505006229094	0.0033333333333333	0.0026666666666666	0.2852700611233452
heart_diseases_lex	disease	2	2	6.620073206530356	11.864448158834211	0.6882992011353585	1.0	229.5	-0.001614798449232513	0.0013333333333333	0.0013333333333333	-0.0007863968983841119
heart_failure_lex	disease	25	52	4.0943445622221	8.60635162081273	inf	2.08	495.6	-0.020837584345955618	0.0166666666666666	0.012	0.7222309440171877
heart_hypertrophy_lex	disease	1	4	7.313220387090301	11.171300978274266	inf	4.0	744.0	-0.0006543627702765287	0.0006666666666666	0.0006666666666666	1.385923265749332
heartlung		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	258.0	-0.00045383224390105337	0.0	0.0	0.6927760851893865
heartrate		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	248.0	-0.00043624184685220335	0.0	0.0	0.6927760851893865
hearts		12	19	4.8283137373023015	9.613156360227716	379.1346002743515	1.5833333333333333	395.66666666666663	-0.010705515644900077	0.0	0.0	0.45468853333216863
